m,0,1,2,3,4,5,6,7,8,9
59.608306,838,1006.04,980.64,729.88,786.4,937.28,810.4,962.36,1018.96,849.32
2495.192,-0.097023,-0.121931,0.016038,0.174655,-0.079597,0.022312,0.042893,-0.024558,0.087651,-0.041741
60.287334,42.749922,42.493871,42.349283,42.344079,43.044353,42.214198,42.420628,42.067081,42.184652,42.2786
2496.088,845.72,1013.92,989.48,736.88,794,945.04,818.76,969.28,1029.08,856.52
60.968619,-0.112386,-0.143292,-0.021667,0.113297,-0.142624,-0.06623,0.000452,-0.110511,0.142951,-0.06223
2496.816,43.312025,43.094636,42.916101,42.935693,43.59669,42.78924,42.979587,42.679792,42.786349,42.86332
61.65209,853.16,1021.8,997.16,743.56,801.44,952.12,826.68,976.08,1038.44,863.08
2497.3984,-0.078405,-0.080299,-0.083838,0.13812,-0.109987,-0.074384,0.020147,-0.052923,0.141312,-0.089472
62.337678,43.885517,43.699118,43.495117,43.528668,44.166212,43.371106,43.547989,43.299725,43.389198,43.461867
2497.856,859.92,1029.64,1004.96,749.04,809.12,958.68,834.08,982.8,1046.16,870.08
63.025317,-0.086826,-0.016805,-0.004558,0.005316,-0.029566,-0.0899,0.031942,0.01595,0.025265,0.051824
2498.208,44.458696,44.307582,44.084779,44.121751,44.736444,43.956301,44.114862,43.923406,43.987927,44.061737
63.714942,866.36,1037.04,1011.76,754.84,817,965.28,841.12,988.8,1053.72,875.96
2498.472,-0.068735,-0.004574,-0.084768,0.152458,0.052998,-0.009794,0.055916,-0.01369,0.105217,-0.03695
64.406492,45.031185,44.913968,44.674939,44.721737,45.319048,44.544995,44.701945,44.547874,44.586027,44.65786
2498.664,872.52,1043.6,1017.96,759.92,824.56,971.72,847.56,994.32,1060.72,881.8
65.099906,-0.034817,-0.035861,-0.085118,0.097788,0.065187,0.048942,0.034917,-0.023852,0.115036,0.039673
2498.7984,45.634008,45.529135,45.263584,45.321964,45.914455,45.15976,45.311191,45.17486,45.196366,45.266291
65.795128,877.84,1049.52,1023.72,764.96,831.52,977.72,853.32,999.84,1067.04,886.88
2498.888,-0.090456,-0.065657,-0.080612,0.204865,0.053371,0.065583,-0.005706,0.077354,0.109314,-0.026874
66.492101,46.226442,46.146257,45.848615,45.913953,46.508698,45.773678,45.919634,45.798878,45.818093,45.8744
2498.944,882.96,1054.84,1028.96,769.16,837.88,982.88,859.08,1004.84,1072.96,891
67.190772,-0.079084,-0.073494,-0.102968,0.104115,0.012625,-0.021719,0.070989,0.064903,0.148869,-0.129303
2498.976,46.818998,46.766152,46.450547,46.513178,47.102989,46.388273,46.537746,46.425985,46.442387,46.49268
67.891089,887.64,1059,1033.88,772.6,844.48,988.04,863.64,1010.04,1077.72,895.2
2498.992,-0.085572,-0.239766,-0.08595,0.004419,0.13394,0.041936,-0.089422,0.218694,0.0208,-0.024265
68.593003,47.417651,47.378782,47.081408,47.130206,47.696347,47.032912,47.157541,47.053557,47.085127,47.129738
2498.9984,892.28,1063.2,1038.4,776.04,850,992.84,868,1014.32,1082,899.16
69.296465,-0.010968,-0.169632,-0.104477,0.119821,0.010237,0.052115,-0.053773,0.110074,0.03009,0.017388
2499,48.027991,47.992768,47.716082,47.767105,48.290133,47.682541,47.777858,47.689667,47.738521,47.764504
,896.48,1067.08,1042.76,778.84,854.6,997.44,872.28,1018.64,1085.92,902.8
,-0.049189,-0.17094,-0.071227,0.024872,-0.094134,0.093655,0.024386,0.217878,0.048783,0.023475
,48.647187,48.612914,48.354561,48.403526,48.887325,48.333,48.407446,48.322366,48.394423,48.399809
,900.2,1070.72,1046.96,781.48,859.36,1001.56,875.88,1022.4,1089.68,906.16
,-0.078405,-0.160904,-0.032572,0.091667,0.051088,0.074887,-0.065459,0.142818,0.144923,0.053233
,49.266532,49.234368,48.996356,49.031372,49.484426,48.985106,49.033817,48.955052,49.039583,49.037625
,904.16,1074.4,1050.96,783.64,863.8,1005.2,879.24,1026,1092.92,908.92
,0.083246,-0.079079,-0.005901,0.007553,0.017109,0.026903,-0.034971,0.228562,0.109139,-0.027862
,49.884415,49.851968,49.640867,49.697508,50.079991,49.638207,49.657639,49.581528,49.684143,49.68507
,907.2,1077.6,1054.64,785.52,868.24,1008.68,882.36,1029.16,1095.12,911.68
,-0.096924,-0.12854,-0.007037,0.005726,0.087382,0.057674,0.012419,0.189723,-0.127682,0.063633
,50.497152,50.468309,50.283289,50.359466,50.672109,50.295428,50.30264,50.199122,50.325484,50.327377
,909.52,1080.4,1057.76,787.16,872.04,1012.12,885.36,1031.88,1097.04,913.92
,-0.234618,-0.126092,-0.074395,0.019992,0.031963,0.145933,0.088623,0.141944,-0.125454,-0.028142
,51.125038,51.079914,50.931226,51.019515,51.268837,50.952152,50.946077,50.829227,50.954749,50.96749
,911.84,1082.64,1060.56,788.24,875.64,1015.04,887.76,1034.28,1099.16,915.48
,-0.109293,-0.267974,-0.066716,-0.213149,0.05416,0.062777,-0.030018,0.148,0.102293,-0.201553
,51.75379,51.687434,51.58877,51.68341,51.858915,51.612605,51.596306,51.451766,51.582651,51.617983
,914.16,1085,1062.96,789.32,878.72,1017.56,890.24,1036.36,1101.24,917.16
,-0.053969,-0.125926,-0.139286,-0.082007,0.01684,0.024723,0.1234,0.103472,0.232671,-0.067264
,52.380783,52.327028,52.248801,52.355668,52.452159,52.271286,52.245908,52.062018,52.236277,52.27377
,916,1087.08,1065.04,790.16,881.84,1020.04,892.2,1037.88,1102.56,918.24
,-0.137155,-0.174603,-0.175802,-0.165461,0.123686,0.124819,0.009843,-0.085545,-0.101836,-0.313061
,53.021211,52.966017,52.912308,53.030005,53.033272,52.932046,52.891686,52.685821,52.879095,52.929308
,917.56,1089.36,1067.08,790.8,884.4,1022.12,893.64,1039.44,1103.64,919.6
,-0.199875,0.005291,-0.089812,-0.235006,0.038637,0.039335,-0.147437,0.096824,-0.12465,-0.062121
,53.657724,53.602468,53.578682,53.692122,53.639255,53.595965,53.543429,53.336858,53.523236,53.586382
,919.08,1090.84,1068.64,791.08,886.8,1023.84,895.16,1040.84,1104.4,920.92
,-0.109019,-0.265873,-0.231345,-0.58808,0.084818,-0.078045,0.068665,0.089325,-0.301881,0.017388
,54.283683,54.238684,54.247312,54.34584,54.281694,54.257476,54.184393,54.008313,54.169706,54.249121
